track_name,mbz_id,fname,instrument,center,backtrack,f_score,iterations,time,max_size,wait,delta,pre_max,post_max,pre_avg,post_avg
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,piano,True,False,0.6519898391193905,11,03-08-23_09-38-01,5,15,0.05,9,5,5,5
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,piano,True,False,0.672926447574335,11,03-08-23_09-38-06,5,15,0.05,9,5,5,5
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,piano,True,False,0.6585067319461444,11,03-08-23_09-37-53,5,15,0.05,9,5,5,5
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,piano,True,False,0.6194302410518626,11,03-08-23_09-37-58,5,15,0.05,9,5,5,5
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,piano,True,False,0.6357308584686775,11,03-08-23_09-37-49,5,15,0.05,9,5,5,5
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,piano,True,False,0.8074866310160429,11,03-08-23_09-37-41,5,15,0.05,9,5,5,5
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,piano,True,False,0.5805555555555555,11,03-08-23_09-38-04,5,15,0.05,9,5,5,5
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,piano,True,False,0.6418193303853443,11,03-08-23_09-38-08,5,15,0.05,9,5,5,5
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,piano,True,False,0.7145708582834333,11,03-08-23_09-37-46,5,15,0.05,9,5,5,5
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,piano,True,False,0.4604651162790697,11,03-08-23_09-37-53,5,15,0.05,9,5,5,5
