track_name,mbz_id,fname,instrument,f_score,iterations,time,threshold,smooth,pre_avg,post_avg,pre_max,post_max
Glorias Step take 1 interrupted,af9c1ed7-0406-4411-a53e-32c5350c9bf8,evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,piano,0.8533333333333334,2,07-05-24_18-57-04,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Glorias Step take 3,f72a8e95-4a9f-409a-aff7-8857540adf73,evansb-gloriassteptake3-lafarosmotianp-1961-f72a8e95,piano,0.9029850746268656,2,07-05-24_18-57-04,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,piano,0.9616252821670429,2,07-05-24_18-57-08,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
SeeSaw,166c480f-4084-491d-a32a-8c899b0e9940,evansb-seesaw-gomezemorellm-1973-166c480f,piano,0.9110738255033558,2,07-05-24_18-57-30,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
All of You,1324a29e-6075-4beb-861d-73f6de9be20a,evansb-allofyou-gomezezigmunde-1974-1324a29e,piano,0.9414141414141415,2,07-05-24_18-57-39,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Bills Hit Tune,8907b003-9e93-4b74-b35a-981879c9e36e,evansb-billshittune-johnsonmlabarberaj-1980-8907b003,piano,0.895690193628982,2,07-05-24_18-57-45,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Rainbow,2c0f6494-cc8b-4a94-9b0c-9350a97499b2,jarrettk-rainbow-hadencmotianp-1972-2c0f6494,piano,0.9036959916710047,2,07-05-24_18-57-58,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,piano,0.9131975199291409,2,07-05-24_18-58-00,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Between the Devil and the Deep Blue Sea,7e485343-1cb9-4798-acc0-c35320949854,jarrettk-betweenthedevilandthe-peacockgdejohnettej-2009-7e485343,piano,0.9491083079599827,2,07-05-24_18-58-07,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
With Malice Towards None,d5c51907-81dd-42d8-9e78-956ff9f0d28e,hicksj-withmalicetowardsnone-bookerwmuhammadi-1981-d5c51907,piano,0.9059429106223679,2,07-05-24_18-58-05,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,piano,0.9492424242424243,2,07-05-24_18-58-07,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Fly Little Bird Fly,e3e5bd4a-a7c4-4b49-8308-c63420605332,hicksj-flylittlebirdfly-williamsbhayesl-2006-e3e5bd4a,piano,0.9176187612748046,2,07-05-24_18-58-03,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Back Home Again in Indiana,b0e03bf2-6c3d-48e7-aa7c-ab321ae8a459,petersono-backhomeagaininindiana-kingawilkinsonm-1947-b0e03bf2,piano,0.9582836710369488,2,07-05-24_18-57-43,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,piano,0.8735818476499189,2,07-05-24_18-57-51,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
The Man I Love,20c60566-3170-41b9-992c-a3062948fca6,petersono-themanilove-orstedndrewm-1984-20c60566,piano,0.9363057324840764,2,07-05-24_18-57-51,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Sweet Georgia Brown,25a7592c-4709-4429-9ca9-7070b32c7f25,powellb-sweetgeorgiabrown-russellcroachm-1950-25a7592c,piano,0.8768606224627876,2,07-05-24_18-58-01,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,piano,0.9470588235294118,2,07-05-24_18-58-04,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Rifftide,8a86e370-95b2-48d1-8346-7664ab9f2b7f,powellb-rifftide-orstednschiopffew-1962-8a86e370,piano,0.9012875536480686,2,07-05-24_18-58-06,0.54,0.08750000000000001,0.0,0.0,0.01,0.01
Blues for Gwen,72d0306f-d3ed-4332-9d59-1c22271568d7,tynerm-bluesforgwen-davisajonese-1962-72d0306f,piano,0.9582289055973267,3,07-05-24_18-59-21,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,piano,0.9100062932662052,3,07-05-24_18-59-14,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
TraneLike,f61d311f-067d-4ff3-986f-ac91a571a381,tynerm-tranelike-clarkesfostera-1998-f61d311f,piano,0.945819397993311,3,07-05-24_18-59-07,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Someday My Prince Will Come,709cf40e-fd3f-4af7-9028-d96c90741cce,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,piano,0.9464816650148662,3,07-05-24_18-59-19,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,piano,0.9597615499254843,3,07-05-24_18-59-22,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Shuffle Boil,3a37bdb6-b048-480b-b367-43d0f60e2313,barronk-shuffleboil-kitagawakblakej-2015-3a37bdb6,piano,0.9203329369797859,3,07-05-24_18-58-44,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Just Friends,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1,flanagant-justfriends-tuckerbbaileyd-1961-0469f84b,piano,0.9110807113543091,3,07-05-24_18-59-07,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,piano,0.9476439790575918,3,07-05-24_18-58-52,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Birdsong,1538c8eb-ccd3-4df9-9680-2f866b90ebef,flanagant-birdsong-washingtonpnashl-1997-1538c8eb,piano,0.9191385615603415,3,07-05-24_18-59-22,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Ralphs New Blues,7dfd6f62-eb98-4ab1-a82a-faffdc919479,mancej-ralphsnewblues-tuckerbthomasb-1960-7dfd6f62,piano,0.9041095890410958,3,07-05-24_18-58-38,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,piano,0.8769574944071589,3,07-05-24_18-59-10,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Broadway,97763166-9e4b-426b-9bcc-8cf687051dfe,mancej-broadway-tanakahwilliamsj-2007-97763166,piano,0.9656040268456376,3,07-05-24_18-59-15,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
Spring Will Be a Little Late This Year,828208f2-3ae0-4de4-878c-ffd8f7cda68c,jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,piano,0.8901098901098902,3,07-05-24_18-58-37,0.135,0.08750000000000001,0.0,0.0,0.01,0.01
